"Маркет","Код","Название","Название","Город","Адрес"
"М115","Т083","ТОШ. Кадышева","Кадышева","Tashkent"," г.Ташкент, Яшнабадский район, Авиосозлар-2 , 56-дом"
"М116","Т084","ТОШ. ФАМИЛИ МАРКЕТ"," Family Market","Tashkent","г.Ташкент, М.Улугбек; ул. Ахмад Югнакий; Массив Хумаюн"
"М117","Т085","ТОШ. Сардоба","Сардоба","Tashkent","г.Ташкент, Юнусабадский район, ул. Ч.Айтматов 52/1. Ориентир: Мечеть Бодомзор"
"М118","Т086","ТОШ. МАЖИК СИТИ","Magik city","Tashkent","г.Ташкент, ул. Бабура, 174."
"М120","SI01","СЫР. ГУЛИСТАН","Гулистан","Гулистан"," г. Гулистан, махалля Намуна, проспект Узбекистан, Ориентир:  ТРЦ Saxovat"
"М123","BU05","БУХ. КАГАН","Каган","Buxara","г. Каган. Бухарская область,  ул. Бухара Шох.  Ресторан Афрасиёб."
"М122","Т088","ТОШ. НУР","Нур","Tashkent","г. Ташкент, Шайхантохурский  район, Турккурган, 6 проезд, д 1-2."
"М124","T089","ТОШ. ТРАМВАЙ ДЕПО","Депо","Tashkent","г. Ташкент, р. Учтепа, ул. Лутфий и Катта Каьни"
"М125","SA02","САМ. КАТТАКУРГАН","","","г.Каттакурган, Дустлик СГМ ул: Самарканд шох 69А"
"М126","T090","ТОШ. КУШБЕГИ СУЛТАН","Султан","Tashkent","г.Ташкент, Яккасарайский р-н, ул. Кушбеги, 30Б. Ориентир: бывший ресторан Султан"
"М127","T091","ТОШ. ТТЗ ТРЦ","Ттз","Tashkent","г. Ташкент, Мирзо Улугбекский район, ул. Юзработ. дом№ 30 Б"
